age,education-num,sex,hours-per-week,salary,workclass,education,marital-status,occupation,relationship,race,country,fnlwgt
39,13,0,40,0,1279,5044,9726,3721,7726,25933,28833,77516.0
50,13,0,13,0,2499,5044,14065,3992,12463,25933,28833,83311.0
38,9,0,40,0,22286,9840,4214,1350,7726,25933,28833,215646.0
53,7,0,40,0,22286,1048,14065,1350,12463,2817,28833,234721.0
28,13,1,40,0,22286,5044,14065,4038,1406,2817,28833,338409.0
37,14,1,40,0,22286,1627,14065,3992,1406,25933,28833,284582.0
49,5,1,16,0,22286,455,370,3212,7726,2817,28833,160187.0
52,9,0,45,1,2499,9840,14065,3992,12463,25933,28833,209642.0
31,14,1,50,1,22286,1627,9726,4038,7726,25933,28833,45781.0
42,13,0,40,1,22286,5044,14065,3992,12463,25933,28833,159449.0
37,10,0,80,1,22286,6678,14065,3992,12463,2817,28833,280464.0
30,13,0,40,1,1279,5044,14065,4038,12463,895,647,141297.0
23,13,1,30,0,22286,5044,9726,3721,4466,25933,28833,122272.0
32,12,0,50,0,22286,1008,9726,3584,7726,2817,28833,205019.0
34,4,0,45,0,22286,557,14065,1572,12463,286,28833,245487.0
25,9,0,35,0,2499,9840,9726,989,4466,25933,28833,176756.0
32,9,0,40,0,22286,9840,9726,1966,3212,25933,28833,186824.0
38,7,0,50,0,22286,1048,14065,3584,12463,25933,28833,28887.0
43,14,1,45,1,2499,1627,4214,3992,3212,25933,28833,292175.0
40,16,0,60,1,22286,375,14065,4038,12463,25933,28833,193524.0
54,9,1,20,0,22286,9840,939,3212,3212,2817,28833,302146.0
35,5,0,40,0,943,455,14065,989,12463,2817,28833,76845.0
43,7,0,40,0,22286,1048,14065,1572,12463,25933,28833,117037.0
59,9,1,40,0,22286,9840,4214,912,3212,25933,28833,109015.0
56,13,0,40,1,2067,5044,14065,912,12463,25933,28833,216851.0
19,9,0,40,0,22286,9840,9726,4030,4466,25933,28833,168294.0
39,9,0,80,0,22286,9840,4214,3992,7726,25933,28833,367260.0
49,9,0,40,0,22286,9840,14065,4030,12463,25933,28833,193366.0
23,12,0,52,0,2067,1008,9726,644,7726,25933,28833,190709.0
20,10,0,44,0,22286,6678,9726,3584,4466,2817,28833,266015.0
45,13,0,40,0,22286,5044,4214,3992,4466,25933,28833,386940.0
30,10,0,40,0,943,6678,14065,3721,4466,25933,28833,59951.0
22,10,0,15,0,1279,6678,14065,3212,12463,2817,28833,311512.0
48,7,0,40,0,22286,1048,9726,1966,3212,25933,28833,242406.0
21,10,0,40,0,22286,6678,9726,1966,4466,25933,28833,197200.0
19,9,1,25,0,22286,9840,21,3721,1406,25933,28833,
48,12,0,40,0,2499,1008,14065,4038,12463,25933,28833,265477.0
31,5,0,43,0,22286,455,14065,1966,12463,25933,28833,
53,13,0,40,0,2499,5044,14065,4038,12463,25933,28833,88506.0
24,13,0,50,0,22286,5044,14065,912,12463,25933,28833,172987.0
49,9,1,40,0,22286,9840,939,3721,3212,25933,28833,94638.0
25,9,0,35,0,22286,9840,9726,1350,7726,25933,28833,289980.0
57,13,0,40,1,943,5044,14065,4038,12463,2817,28833,337895.0
53,9,0,38,0,22286,9840,14065,1966,12463,25933,28833,144361.0
44,14,1,40,0,22286,1627,4214,3992,3212,25933,28833,128354.0
41,11,0,40,0,1279,1307,14065,4030,12463,25933,28833,101603.0
29,11,0,43,0,22286,1307,9726,4038,7726,25933,28833,271466.0
25,10,1,40,0,22286,6678,14065,3992,1406,231,28833,32275.0
47,15,1,60,1,22286,542,14065,4038,1406,25933,28833,51835.0
50,13,0,55,1,943,5044,4214,3992,7726,25933,28833,251585.0
47,9,0,60,0,1074,9840,4214,3992,7726,25933,28833,109832.0
43,10,0,40,1,22286,6678,14065,912,12463,25933,28833,237993.0
46,3,0,40,0,22286,288,14065,1966,12463,25933,28833,216666.0
35,11,0,40,0,22286,1307,14065,3212,12463,25933,28833,56352.0
41,9,0,48,0,22286,9840,14065,3721,12463,25933,28833,147372.0
30,9,0,40,0,22286,9840,14065,1966,12463,25933,28833,188146.0
30,13,0,40,0,22286,5044,14065,3584,12463,25933,28833,59496.0
48,9,0,40,0,22286,9840,14065,1572,12463,25933,28833,149640.0
42,16,0,45,1,22286,375,14065,4038,12463,25933,28833,116632.0
29,10,0,58,0,22286,6678,4214,912,7726,25933,28833,105598.0
36,9,0,40,0,22286,9840,14065,4030,12463,25933,28833,155537.0
28,10,1,40,0,22286,6678,4214,3721,7726,25933,28833,183175.0
53,9,1,40,1,22286,9840,14065,3721,1406,25933,28833,169846.0
49,10,0,50,1,1074,6678,14065,3992,12463,25933,28833,191681.0
19,10,0,32,0,22286,6678,9726,4038,4466,25933,28833,101509.0
31,13,1,40,0,22286,5044,939,3584,4466,2817,28833,309974.0
29,13,0,70,1,2499,5044,14065,3584,12463,25933,28833,162298.0
23,10,0,40,0,22286,6678,9726,1966,7726,25933,28833,211678.0
27,9,0,40,0,22286,9840,9726,3212,4466,25933,28833,213921.0
